pos_x,vel_posicao,acel_linear,vel_rotacao,jitter_mira,mirando
12907.6,0.0,0.0,0.0,0.0,0
12907.6,0.0,0.0,0.0,0.0,0
12907.6,0.0,0.0,0.0,0.0,0
12907.6,0.0,0.0,0.0,0.0,0
12907.6,0.0,0.0,0.0,0.0,0
12907.6,0.0,0.0,0.0,0.0,0
12907.6,0.0,0.0,0.0,0.0,0
12907.6,0.0,0.0,1.5297066918750568,1.5297066918750568,0
12909.6,2.125652840894222,2.125652840894222,0.8800314099785502,0.6496752818965066,0
12911.7,2.4236542657738576,0.29800142487963566,2.039287541153249,1.159256131174699,0
12908.6,3.1052214091755777,0.6815671434017201,1.4378239882524777,0.6014635529007715,0
12906.3,2.407093683263359,-0.6981277259122187,1.6549254676888008,0.21710147943632307,0
12905.9,2.3739418695477523,-0.033151813715606604,0.0059474010947253705,1.6489780665940754,0
12905.9,0.31999999999970896,-2.0539418695480434,0.03324410565725258,0.02729670456252721,0
12905.9,2.6300000000010186,2.3100000000013097,1.1808503778863662,1.1476062722291136,0
12909.1,3.2936909387498456,0.663690938748827,0.5395942171932329,0.6412561606931333,0
12912.4,3.3002424153378676,0.0065514765880219095,0.6947128081054291,0.15511859091219626,0
12915.4,3.0066592756746298,-0.2935831396632378,0.7145622149185089,0.019849406813079784,0
12916.3,2.9791945220143266,-0.02746475366030321,0.10178088663845042,0.6127813282800585,0
12917.5,3.3988821691832785,0.4196876471689519,0.2306737808232069,0.12889289418475647,0
12917.0,3.2190681881566054,-0.179813981026673,0.2601615455395656,0.029487764716358722,0
12914.8,3.360297605868807,0.14122941771220177,0.7425931931920715,0.4824316476525059,0
12912.4,2.4010206163209453,-0.9592769895478619,0.272573754806122,0.4700194383859495,1
12908.2,4.206292904683485,1.8052722883625396,0.002292810819552793,0.2702809439865692,0
12901.8,6.609273787642438,2.4029808829589534,0.808929449307064,0.8066366384875112,0
12895.8,6.220096462274846,-0.38917732536759253,1.0848438770833875,0.27591442777632347,0
12895.2,3.020198668960882,-3.199897793313964,0.11233880296685039,0.9725050741165371,0
12896.8,4.569288784920576,1.549090115959694,0.057909790514888156,0.05442901245196224,0
12897.3,2.3146490014689025,-2.2546397834516734,0.9855978641695197,0.9276880736546315,0
12895.5,1.83371208208858,-0.48093691938032257,2.944538690946527,1.9589408267770074,0
12889.5,6.488520632624725,4.654808550536146,0.11616029458089727,2.82837839636563,0
12886.1,3.4296501279282383,-3.058870504696487,0.9681684054576445,0.8520081108767472,1
12884.4,1.8423083346725153,-1.587341793255723,0.06329952750139684,0.9048688779562477,1
12884.8,0.43462627624170824,-1.4076820584308072,0.014829282420188827,0.04847024508120801,1
12883.2,1.604493689609135,1.169867413367427,0.006405746991467343,0.008423535428721485,0
12880.1,3.189435686763766,1.5849419971546308,0.744551002224439,0.7381452552329717,0
12878.0,2.3259406699229297,-0.8634950168408362,1.4555189063739986,0.7109679041495596,0
12873.3,5.53320883394141,3.2072681640184806,1.1600334793266016,0.295485427047397,0
12869.0,4.321446517081288,-1.2117623168601224,0.6780413146497359,0.4819921646768657,0
12867.5,2.9584624384983433,-1.3629840785829446,2.7197336350587777,2.041692320409042,0
12865.5,2.6184155514347935,-0.3400468870635498,0.010734929224417267,2.7089987058343605,0
12864.0,3.652245884383952,1.0338303329491585,0.0,0.010734929224417267,0
12861.6,6.490061632989794,2.8378157486058417,0.3204656303707658,0.3204656303707658,0
12862.7,6.661448791366408,0.17138715837661422,0.004534812026668833,0.315930818344097,0
12863.2,6.509231905532109,-0.15221688583429938,0.20930641275526385,0.20477160072859502,0
12864.0,3.2984845004946575,-3.210747405037451,0.8065332856030246,0.5972268728477608,0
12862.6,2.1868699092538537,-1.1116145912408038,0.36633456416109494,0.4401987214419297,0
12861.4,1.2587295182052172,-0.9281403910486365,0.3948528685211683,0.028518304360073354,0
12861.1,0.33999999999928954,-0.9187295182059276,0.5776462306848986,0.18279336216373032,0
12860.9,0.23853720883869645,-0.10146279116059309,0.3004135248696569,0.27723270581524173,0
12858.5,2.4005207768312196,2.161983567992523,0.4657963892606851,0.16538286439102823,1
12858.0,1.2723600119463714,-1.1281607648848482,1.2809176589964315,0.8151212697357464,0
12856.8,1.374372584127697,0.10201257218132564,1.9172034362800445,0.636285777283613,1
12857.3,1.8874321179843636,0.5130595338566666,0.053012045752593856,1.8641913905274508,0
12859.5,6.044576081084155,4.1571439630997915,0.02577606260927562,0.027235983143318238,0
12860.5,6.68521503019788,0.6406389491137254,0.0354006716682953,0.009624609059019684,0
12861.5,6.685215030199679,1.7985612998927536e-12,0.00013398847179560414,0.0352666831964997,0
12862.4,6.522392199186704,-0.16282283101297423,0.4196396166634011,0.41950562819160553,1
12863.1,2.0248456731315687,-4.497546526055135,1.1743191845813914,0.7546795679179903,1
12863.2,2.95169442862801,0.9268487554964411,1.1930788749416268,0.018759690360235393,0
12864.3,6.572701119023647,3.6210066903956375,0.3205801181907872,0.8724987567508395,0
12863.9,6.172973351635168,-0.39972776738847937,0.35663946969971566,0.03605935150892847,0
12863.7,1.216552506058388,-4.95642084557678,0.8557681806366093,0.49912871093689365,1
12865.1,2.368142732184533,1.1515902261261453,1.1151658409982486,0.25939766036163925,0
12865.8,3.2952086428640555,0.9270659106795223,0.27456603518421197,0.8405998058140366,0
12867.1,2.000099997501166,-1.2951086453628893,0.3773571656570479,0.10279113047283595,0
12866.4,3.569313659515092,1.5692136620139259,0.2382303006035836,0.1391268650534643,0
12865.4,2.9543865691533204,-0.6149270903617716,0.27054191673566597,0.03231161613208236,0
12865.4,0.0,-2.9543865691533204,0.4993721273979421,0.22883021066227616,0
12865.4,0.47000000000116415,0.47000000000116415,0.47183071142190997,0.027541415976032158,0
12865.9,3.634556369075808,3.164556369074644,0.1215497938810007,0.3502809175409093,0
12868.6,3.2843416387469384,-0.35021473032886963,0.06535691240471145,0.05619288147628926,0
12871.0,2.867908645685448,-0.4164329930614903,0.1998420893163397,0.13448517691162826,1
12871.0,0.049999999999272404,-2.8179086456861757,0.03335947374930672,0.16648261556703298,0
12871.5,3.169684526890078,3.1196845268908056,0.010800452522277931,0.02255902122702879,0
12871.7,3.4657755264867123,0.2960909995966343,9.988479159755981e-08,0.010800352637486334,0
12871.1,2.1360009363305323,-1.32977459015618,2.4558283243107164,2.455828224425925,0
12871.2,2.581937257177195,0.4459363208466627,1.1828354060255784,1.272992918285138,1
12871.2,0.1000000000003638,-2.4819372571768312,0.5647861032014025,0.6180493028241758,0
12871.2,0.0,-0.1000000000003638,0.3354690099754157,0.22931709322598687,0
12871.2,0.0,0.0,0.0,0.3354690099754157,0
12871.2,0.0,0.0,0.0,0.0,0
12871.3,0.13453624046975282,0.13453624046975282,0.0,0.0,0
12871.3,0.030000000000654836,-0.10453624046909799,0.0,0.0,0
12871.3,0.05999999999949068,0.029999999998835847,0.0,0.0,0
12871.3,0.050000000001091394,-0.00999999999839929,0.0,0.0,0
12871.3,0.0,-0.050000000001091394,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
12871.3,0.0,0.0,0.0,0.0,0
